mlsfc,mcate_nm,Sex,Age,Month,time,day,fav_plc,click
식당,분식,M,36,1,22,토,토속/특산물/기념품매장,0
식당,페리카나,F,58,1,21,금,몸보신,1
식당,햄버거/도너츠/샌드위치,M,52,6,4,목,찌개/탕전문,1
식당,햄버거/도너츠/샌드위치,F,42,6,3,목,맥도날드,0
식당,햄버거/도너츠/샌드위치,F,36,6,12,금,벌집삼겹살,1
식당,햄버거/도너츠/샌드위치,M,33,12,13,화,일반부페,0
식당,냉면,F,16,1,1,목,보물,1
식당,일반한식,F,27,8,2,화,피자,0
식당,냉면,M,47,7,1,목,한솥도시락,1
식당,일반한식,M,57,5,21,화,보물,0
식당,국수전문,M,55,3,24,금,일반한식,1
식당,경양식,M,23,5,12,목,파파이스,0
식당,곱창/양구이,F,46,5,17,금,지역축제,0
식당,돈까스전문,M,36,6,1,월,도시락,0
식당,일반한식,F,46,10,14,목,페리카나,1
식당,일반한식,F,59,7,22,목,프랑스음식,1
식당,피자헛,M,50,12,6,수,한솥도시락,0
식당,몸보신,F,55,12,6,화,카페쎄리오,1
식당,일반한식,M,54,2,9,월,벌집삼겹살,1
식당,갈비/불고기,F,21,2,18,금,KFC,0
식당,일반한식,F,33,12,6,화,동물원,0
식당,생고기/등심,M,40,12,20,수,갈비/불고기,1
식당,일반한식,F,52,12,18,일,맘스터치,0
식당,몸보신,M,22,10,15,수,드롭탑,0
식당,해물요리,M,40,6,7,화,피쉬앤그릴,1
식당,해물요리,F,19,2,10,수,일반부페,0
식당,경양식,M,16,9,10,토,성/성터,0
식당,해물요리,F,56,10,7,월,인도음식,1
식당,삼겹살,M,43,12,19,화,대형미술관,1
식당,삼겹살,F,52,4,8,일,카페띠아모,1
식당,갈비/불고기,F,43,8,5,일,다방,1
식당,삼겹살,F,48,6,11,목,야식(24시간오픈),0
식당,생선회,F,51,10,16,금,전문부페,0
식당,갈비/불고기,M,48,4,22,금,놀부부대찌개,1
식당,삼겹살,M,22,5,2,금,투썸플레이스,1
식당,갈비/불고기,F,39,10,19,토,냉면,0
식당,갈비/불고기,M,22,6,7,수,초밥/롤전문,0
식당,일반한식,F,14,1,6,수,피쉬앤그릴,0
식당,해물요리,M,37,9,19,토,요거프레소,1
식당,일반한식,M,22,9,8,월,공연/연극/문화센터,0
식당,생선회,M,17,5,5,토,시립/군립공원,0
식당,경양식,M,46,6,4,월,대형전시/박물관,1
식당,스테이크전문,F,43,12,24,월,식물원,1
식당,생고기/등심,F,31,11,16,화,놀부보쌈,0
식당,일반한식,F,54,5,23,목,카페(관광지),0
식당,갈비/불고기,F,37,2,8,수,대형예술센터,1
식당,일반한식,F,34,8,15,수,던킨도너츠,1
식당,해물요리,M,22,4,13,금,유명관광지,0
식당,닭/오리구이,F,27,4,6,일,페리카나,0
식당,해물요리,M,22,4,2,화,배스킨라빈스31,1
식당,해물요리,F,14,3,9,금,도미노피자,0
식당,일반한식,F,29,6,17,월,할리스커피,0
식당,일반한식,F,17,5,1,수,먹거리/패션거리,1
식당,일반한식,F,57,7,21,수,성/성터,0
식당,해물요리,M,38,11,24,목,피자헛,1
식당,냉면,M,54,5,14,월,해물요리,1
식당,해물요리,F,59,3,11,일,해물요리,1
식당,일반한식,M,30,9,20,일,던킨도너츠,1
식당,일반한식,F,39,4,18,토,본죽,0
식당,일반한식,F,55,8,6,금,스테이크전문,0
식당,삼겹살,F,28,12,15,화,나뚜루,0
식당,일반한식,M,21,6,23,일,냉면,0
식당,일반한식,M,31,7,7,금,고택/생가/민속마을,1
식당,이탈리아음식,F,16,1,18,수,유명관광지,0
식당,일반한식,F,32,4,24,일,샤브샤브,1
식당,해물요리,M,18,3,16,일,동물원,0
식당,삼겹살,F,35,4,12,토,이탈리아음식,1
식당,치킨,M,43,2,20,화,뚜레쥬르,1
식당,스테이크전문,M,59,2,2,일,놀부부대찌개,1
식당,해물요리,M,14,6,5,화,유명관광지,0
식당,치킨,M,25,8,20,월,애슐리,0
식당,치킨,F,23,6,7,목,닭익는마을,1
식당,몸보신,M,43,11,11,일,찌개/탕전문,0
식당,이탈리아음식,F,26,4,23,월,샤브샤브,0
식당,이탈리아음식,M,43,4,23,금,맥시칸,1
식당,일반한식,M,28,7,14,토,소형갤러리,1
식당,한정식,M,32,12,16,목,국수전문,1
식당,일반한식,M,51,2,16,수,놀부보쌈,1
식당,해물요리,F,37,7,6,수,도시락,0
식당,일반한식,M,18,7,14,금,대형전시/박물관,0
식당,일반한식,M,59,8,10,금,KFC,0
식당,일반한식,F,43,1,7,수,동남아음식,1
식당,삼겹살,M,53,3,20,화,퓨전,1
식당,치킨,F,31,6,20,토,맘스터치,1
식당,경양식,M,22,7,21,화,일반유원지/일반놀이공원,1
식당,퓨전,F,42,9,6,일,초밥/롤전문,1
식당,생선회,M,22,6,23,토,설빙,0
식당,삼겹살,M,38,3,18,수,T.G.I.프라이데이스,0
식당,일반한식,F,46,7,11,금,동남아음식,0
식당,일반한식,M,33,11,14,화,맥시칸,0
식당,생선회,M,44,9,21,화,아쿠아리움/대형수족관,1
식당,생선회,F,53,8,22,일,크리스피크림도넛,0
식당,해물요리,F,49,4,8,수,피쉬앤그릴,0
식당,샤브샤브,F,54,3,15,화,탐앤탐스,0
식당,일반한식,F,51,1,19,일,성/성터,0
식당,일반한식,M,57,5,24,월,대형기념관/묘역,1
식당,일반한식,F,58,11,20,수,카페(관광지),0
식당,갈비/불고기,F,37,11,10,금,스무디킹,1
식당,닭/오리구이,M,51,6,10,화,파스타전문,1
식당,닭/오리구이,M,41,3,8,토,지역근린공원,0
식당,일반한식,M,33,10,22,일,시립/군립공원,0
식당,일반한식,M,23,9,7,토,유명관광지,1
식당,샤브샤브,M,43,4,19,일,동남아음식,1
식당,삼겹살,F,36,9,8,화,피자,1
식당,삼겹살,M,59,6,3,월,한스델리,1
식당,퓨전,F,52,11,18,수,엔제리너스,0
식당,일반한식,M,28,8,17,일,파리바게뜨,1
식당,치킨,F,50,2,11,월,폭포/계곡,1
식당,일반한식,F,55,1,20,월,구민/시민회관,1
식당,일반한식,M,54,9,6,목,죽전문,1
식당,생선회,M,54,4,18,금,지역축제,0
식당,경양식,F,36,12,14,월,교촌치킨,0
식당,생고기/등심,M,50,8,5,금,초밥/롤전문,0
식당,경양식,F,27,5,2,목,먹거리/패션거리,1
식당,갈비/불고기,F,36,7,14,토,지역축제,1
식당,닭/오리구이,F,59,5,14,일,경양식,0
식당,삼겹살,F,30,10,11,화,철판요리,0
식당,생선회,F,45,12,11,금,아웃백스테이크하우스,1
식당,치킨,M,34,6,20,목,파스쿠찌,1
식당,일반한식,M,16,6,17,토,탐앤탐스,0
식당,닭/오리구이,M,20,5,18,금,카페(관광지),0
식당,닭/오리구이,F,14,2,23,금,카페쎄리오,1
식당,족발/보쌈,M,46,2,11,수,떡집,1
식당,일반한식,F,24,6,23,수,돈까스전문,0
식당,한정식,M,40,8,14,금,우동,1
식당,일반한식,F,55,3,20,일,인도음식,0
식당,일반한식,F,44,7,22,월,대형시민/도심공원,1
식당,일반한식,F,40,10,19,일,탐앤탐스,1
식당,퓨전,M,27,9,7,토,파파이스,0
식당,치킨,M,37,3,2,화,기타아이스크림,1
식당,치킨,F,16,7,5,월,크리스피크림도넛,1
식당,치킨,M,35,7,4,화,탐앤탐스,1
식당,일반한식,M,42,10,1,토,햄버거/도너츠/샌드위치,0
식당,맥시칸,F,35,6,19,목,피자헛,1
식당,햄버거/도너츠/샌드위치,F,39,4,19,토,공연/연극/문화센터,0
식당,분식,F,24,9,9,목,아웃백스테이크하우스,1
식당,닭/오리구이,F,14,9,15,화,국수전문,1
식당,한정식,M,14,11,22,토,탐앤탐스,1
식당,국수전문,M,56,6,18,화,유명관광지,0
식당,우동,M,42,6,11,토,한스델리,0
식당,우동,F,52,12,16,금,우동,1
식당,우동,M,59,10,10,일,구민/시민회관,1
식당,냉면,F,51,9,1,화,파스쿠찌,1
식당,생선회,F,40,2,17,일,경양식,0
식당,닭/오리구이,M,17,3,15,일,대형시민/도심공원,0
식당,냉면,M,27,8,8,금,대형미술관,1
식당,일반부페,M,53,2,1,수,생고기/등심,1
식당,몸보신,M,56,3,16,목,성/성터,0
식당,찌개/탕전문,F,25,12,1,수,삼겹살,0
식당,버거킹,M,41,8,19,화,엔제리너스,1
식당,파파이스,F,29,8,22,월,경양식,1
식당,곱창/양구이,M,45,9,11,목,BBQ치킨,1
식당,곱창/양구이,F,26,10,2,토,전통찻집,0
식당,분식,M,28,7,21,목,놀부부대찌개,0
식당,국수전문,F,17,1,19,수,휴양림/수목원,0
식당,일반한식,F,30,5,1,수,관광농원/허브마을,1
식당,일반한식,M,25,7,12,화,도미노피자,0
식당,맥시칸,M,17,6,14,일,프랑스음식,1
식당,분식,M,27,11,18,화,호텔부페,1
식당,치킨,F,55,11,22,목,대형전시/박물관,1
식당,분식,M,55,2,22,화,전통찻집,0
식당,일반한식,F,16,2,10,토,닭익는마을,0
식당,국수전문,M,22,6,24,일,파스쿠찌,1
식당,몸보신,M,30,5,1,금,대형기념관/묘역,1
식당,일반한식,M,27,9,7,수,지역호수/저수지,0
식당,피자,F,54,4,5,토,곱창/양구이,0
식당,분식,F,37,10,22,화,원할머니보쌈,0
식당,닭/오리구이,F,58,10,6,일,맘스터치,0
식당,갈비/불고기,M,39,8,9,수,군락/서식지/생태보호구역,0
식당,갈비/불고기,M,49,12,10,금,관광농원/허브마을,1
식당,닭/오리구이,F,51,3,9,월,소형갤러리,0
식당,분식,M,42,5,4,목,드롭탑,1
식당,국수전문,M,48,4,20,화,서원/향교/서당,1
식당,갈비/불고기,F,45,5,20,목,떡집,1
식당,일반한식,M,16,5,10,목,돈까스전문,1
식당,한정식,M,38,11,4,목,전문부페,0
식당,일반한식,M,14,1,17,금,맥시칸,0
식당,해물요리,M,36,9,1,월,소형갤러리,1
식당,족발/보쌈,F,37,8,18,화,지역호수/저수지,1
식당,삼겹살,F,48,7,22,목,전통찻집,0
식당,분식,F,44,11,13,토,배스킨라빈스31,1
식당,일반한식,F,51,3,23,목,대형기념관/묘역,0
식당,분식,F,18,10,22,금,커피빈,1
식당,분식,F,32,4,19,토,설빙,0
식당,닭/오리구이,M,16,2,16,월,암자,1
식당,한정식,M,21,5,6,화,한솥도시락,0
식당,피자,M,19,8,7,수,엔제리너스,1
식당,일반한식,F,16,5,17,일,카페띠아모,0
식당,일반한식,M,42,11,11,월,피자,1
식당,놀부부대찌개,F,20,10,3,화,탐앤탐스,0
식당,놀부부대찌개,F,42,10,10,월,분식,1
식당,놀부부대찌개,F,45,10,7,금,놀부부대찌개,1
식당,분식,F,45,5,12,금,폭포/계곡,1
식당,벌집삼겹살,F,46,10,20,금,한솥도시락,0
식당,벌집삼겹살,M,40,11,3,월,동물원,0
식당,일반한식,F,57,12,3,화,카페(도심),1
식당,닭/오리구이,M,48,1,21,일,야식(24시간오픈),1
식당,원할머니보쌈,F,28,6,12,월,샤브샤브,0
식당,경양식,M,37,7,7,월,닭익는마을,0
식당,햄버거/도너츠/샌드위치,F,17,11,9,수,스무디킹,1
식당,분식,F,44,10,5,일,커피빈,1
식당,피자,M,39,1,19,금,구민/시민회관,0
식당,생고기/등심,F,38,3,18,토,삼겹살,0
식당,일반한식,F,16,12,23,수,요거프레소,1
식당,일반한식,F,46,7,22,토,기타전시/박물관,0
식당,해물요리,F,35,10,3,일,보물,0
식당,갈비/불고기,F,22,10,21,일,소형갤러리,0
식당,삼겹살,F,14,11,18,화,갈비/불고기,0
식당,치킨,F,37,2,1,월,동남아음식,1
식당,삼겹살,M,36,7,2,화,카페(도심),0
식당,일반한식,M,36,8,20,토,할리스커피,1
식당,해물요리,M,55,3,14,일,피자헛,1
식당,일반한식,F,44,9,1,토,맥도날드,0
식당,생선회,F,25,12,16,목,먹거리/패션거리,0
식당,해물요리,F,59,4,5,금,던킨도너츠,0
식당,돈까스전문,F,41,7,22,금,전통찻집,1
식당,초밥/롤전문,M,58,1,13,일,피쉬앤그릴,1
식당,일반한식,F,17,3,23,토,군락/서식지/생태보호구역,0
식당,생선회,F,45,8,23,수,커피빈,0
식당,생선회,M,37,2,10,토,놀부보쌈,0
식당,갈비/불고기,F,51,2,2,금,소형갤러리,0
식당,분식,F,32,7,5,화,카페쎄리오,0
식당,분식,F,25,9,5,일,보양식,1
식당,분식,F,53,11,1,화,시립/군립공원,0
식당,일반한식,F,57,7,5,금,도미노피자,0
식당,곱창/양구이,M,57,5,12,토,기타아이스크림,0
식당,치킨,M,14,5,11,수,요거프레소,0
식당,페리카나,F,20,5,19,수,KFC,1
식당,페리카나,M,43,6,11,토,암자,0
식당,일반한식,F,54,2,16,수,더후라이팬,1
식당,일반한식,F,41,1,12,화,스타벅스,0
식당,일반한식,F,57,4,11,월,폭포/계곡,1
식당,페리카나,M,38,2,18,월,테마공원/대형놀이공원,1
식당,족발/보쌈,M,51,7,1,금,떡집,1
식당,일반한식,M,23,5,15,화,T.G.I.프라이데이스,1
식당,일반한식,M,17,4,1,토,우동,0
식당,갈비/불고기,F,39,4,9,일,야식(24시간오픈),1
식당,일반한식,F,50,11,2,토,놀부보쌈,0
식당,일반한식,M,30,4,3,토,파스타전문,1
식당,일반한식,M,29,3,12,토,파스쿠찌,1
식당,치킨,M,20,9,10,금,휴양림/수목원,1
식당,일반한식,F,28,6,19,수,냉면,0
식당,생고기/등심,M,24,5,3,토,한솥도시락,1
식당,일반한식,M,52,11,5,화,유명사적/유적지,1
식당,일반한식,F,25,11,22,토,스테이크전문,1
식당,치킨,F,31,3,12,목,던킨도너츠,1
식당,일반한식,F,45,9,19,일,버거킹,0
식당,생선회,F,43,11,10,금,피자헛,0
식당,치킨,M,18,4,1,목,햄버거/도너츠/샌드위치,0
식당,찌개/탕전문,M,57,11,2,금,생고기/등심,0
식당,일반한식,F,37,6,10,화,공차,0
식당,분식,M,40,8,5,일,동물원,1
식당,생선회,M,46,10,5,목,로티보이,0
식당,일반한식,F,15,11,19,화,스무디킹,0
식당,일반한식,F,36,7,17,화,갈비/불고기,0
식당,햄버거/도너츠/샌드위치,M,22,9,16,금,원할머니보쌈,0
식당,일반한식,F,53,8,19,토,돈까스전문,1
식당,돈까스전문,M,14,12,10,일,폭포/계곡,1
식당,BBQ치킨,M,26,8,6,목,페리카나,0
식당,일반한식,M,32,8,18,월,호텔부페,1
식당,치킨,F,46,8,21,일,도미노피자,0
식당,일반한식,M,58,11,7,화,더후라이팬,1
식당,치킨,F,34,9,4,수,서원/향교/서당,0
식당,국수전문,M,59,8,3,일,먹거리/패션거리,1
식당,햄버거/도너츠/샌드위치,F,37,10,10,목,유명관광지,1
식당,피자,M,33,8,5,화,퓨전,1
식당,일반한식,F,53,5,5,화,일반부페,0
식당,일반한식,F,18,7,9,화,기타전시/박물관,1
식당,일반한식,M,49,4,15,목,놀부보쌈,0
식당,애슐리,M,41,3,8,수,카페(관광지),1
식당,일반한식,M,23,2,10,목,애슐리,0
식당,일반한식,M,20,4,17,화,분식,1
식당,경양식,F,39,10,13,목,놀부부대찌개,1
식당,일반한식,M,31,2,24,월,토속/특산물/기념품매장,0
식당,햄버거/도너츠/샌드위치,M,14,11,5,월,본죽,1
식당,일반한식,F,59,3,9,목,대형전시/박물관,0
식당,일반한식,M,49,12,14,토,햄버거/도너츠/샌드위치,0
식당,일반한식,M,47,3,12,금,서원/향교/서당,1
식당,일반한식,M,19,10,6,수,아쿠아리움/대형수족관,1
식당,일반한식,M,35,8,6,화,카페띠아모,1
식당,일반한식,M,58,4,16,일,피쉬앤그릴,1
식당,닭/오리구이,M,42,3,14,일,샤브샤브,1
식당,냉면,F,20,6,2,일,생고기/등심,0
식당,일반한식,F,42,1,23,수,몸보신,1
식당,일반한식,F,54,9,12,화,파파존스피자,0
식당,경양식,F,20,5,17,토,KFC,1
식당,일반한식,F,42,5,13,화,한스델리,1
식당,해물요리,F,26,1,8,토,배스킨라빈스31,1
식당,치킨,F,54,7,22,토,일반부페,0
식당,치킨,M,31,3,12,일,할리스커피,1
식당,치킨,M,33,11,21,일,컨벤션센터,0
식당,국수전문,F,23,4,7,수,휴양림/수목원,0
식당,분식,M,14,8,5,금,퓨전,1
식당,분식,F,37,5,4,금,해물요리,0
식당,경양식,F,30,7,5,화,아웃백스테이크하우스,1
식당,족발/보쌈,F,19,11,23,화,대형예술센터,1
식당,국수전문,M,20,5,5,월,배스킨라빈스31,1
식당,일반한식,M,18,2,6,화,파파존스피자,0
식당,일반한식,F,40,5,15,토,공연/연극/문화센터,1
식당,치킨,F,49,7,19,월,먹거리/패션거리,1
식당,경양식,F,17,1,11,토,유명사찰,0
식당,일반한식,M,50,9,13,일,대형시민/도심공원,1
식당,해물요리,M,25,2,10,화,닭익는마을,1
식당,분식,F,22,3,9,수,이디야,0
식당,일반한식,M,48,6,20,목,놀부보쌈,1
식당,일반한식,M,33,6,11,화,나뚜루,1
식당,치킨,M,32,5,17,금,크리스피크림도넛,0
식당,피자,F,49,9,21,금,차전문점,1
식당,일반한식,F,50,7,12,월,대형예술센터,1
식당,분식,F,54,12,22,금,경양식,1
식당,일반한식,M,20,6,20,목,경양식,1
식당,일반한식,F,53,3,7,목,파파존스피자,0
식당,일반한식,F,22,3,9,화,더후라이팬,0
식당,일반한식,F,46,2,24,목,동물원,1
식당,일반한식,M,27,8,24,수,돈까스전문,1
식당,일반한식,F,35,2,16,목,비/탑/문/각,0
식당,일반한식,M,14,6,21,화,대형호수/저수지,0
식당,일반한식,F,28,9,22,월,KFC,1
식당,일반한식,F,19,12,10,월,투썸플레이스,0
식당,일반한식,M,30,1,7,토,지역호수/저수지,1
식당,일반한식,M,58,11,14,수,공차,0
식당,치킨,M,59,6,9,금,설빙,0
식당,치킨,M,54,2,5,일,우동,0
식당,일반한식,M,37,5,11,토,샤브샤브,0
식당,치킨,M,31,8,1,금,카페베네,0
식당,일반한식,M,22,12,11,금,맥시칸,0
식당,삼겹살,F,31,2,6,목,일반부페,0
식당,치킨,F,46,4,14,일,대형호수/저수지,1
식당,일반한식,F,39,12,16,일,더후라이팬,0
식당,일반한식,F,22,9,4,금,이탈리아음식,0
식당,분식,M,53,4,8,월,생고기/등심,0
식당,삼겹살,M,55,12,6,목,삼겹살,1
식당,분식,M,44,7,19,목,더후라이팬,1
식당,일반한식,M,50,12,9,목,죽전문,1
식당,치킨,M,53,10,9,수,요거프레소,0
식당,일반한식,M,15,9,3,월,스테이크전문,0
식당,일반한식,M,27,12,6,토,한스델리,1
식당,몸보신,M,30,12,17,화,초밥/롤전문,0
식당,일반한식,F,27,12,24,토,카페띠아모,1
식당,삼겹살,F,23,2,15,수,공연/연극/문화센터,0
식당,일반한식,M,35,1,22,수,서원/향교/서당,0
식당,일반한식,F,42,4,5,화,대형예술센터,0
식당,일반한식,M,33,5,4,일,기타아이스크림,0
식당,분식,M,48,9,18,일,이탈리아음식,1
식당,일반한식,F,32,7,17,금,지역호수/저수지,1
식당,분식,M,25,5,8,일,설빙,0
식당,일반한식,M,53,6,18,목,암자,1
식당,일반한식,F,44,5,23,일,파파존스피자,0
식당,족발/보쌈,M,48,5,7,목,테마공원/대형놀이공원,1
식당,일반한식,M,42,3,16,목,공연/연극/문화센터,0
식당,피자,F,19,5,11,화,드롭탑,0
식당,일반한식,F,29,1,15,월,해물요리,0
식당,경양식,M,36,4,17,토,샤브샤브,1
식당,파스타전문,F,46,3,16,일,페리카나,1
식당,냉면,M,24,8,20,일,지역호수/저수지,0
식당,닭/오리구이,F,41,4,21,금,도미노피자,0
식당,일반한식,M,44,9,7,일,인도음식,0
식당,닭/오리구이,F,43,11,10,일,대형미술관,1
식당,일반한식,M,35,4,8,목,아웃백스테이크하우스,1
식당,일반한식,F,41,1,3,금,망고식스,1
식당,일반한식,F,38,9,24,일,피쉬앤그릴,0
식당,치킨,F,39,10,3,금,원할머니보쌈,0
식당,피자,F,43,9,4,수,국수전문,1
식당,일반한식,F,23,8,13,토,T.G.I.프라이데이스,0
식당,국수전문,F,31,10,20,수,카페(관광지),1
식당,치킨,M,25,1,6,화,퓨전,1
식당,닭/오리구이,M,47,7,18,토,페리카나,0
식당,일반한식,M,52,4,20,목,생고기/등심,0
식당,일반한식,M,53,5,20,월,죽전문,0
식당,일반한식,M,56,11,5,토,햄버거/도너츠/샌드위치,1
식당,닭/오리구이,M,39,2,20,목,한스델리,1
식당,일반한식,M,55,6,1,일,BBQ치킨,1
식당,갈비/불고기,M,25,12,12,토,토속/특산물/기념품매장,0
식당,일반한식,M,29,9,5,토,암자,0
식당,일반한식,M,56,8,11,금,맥도날드,0
식당,삼겹살,M,39,5,15,금,기타아이스크림,0
식당,일반한식,M,38,2,3,월,성/성터,0
식당,일반한식,F,23,12,16,일,피자,0
식당,일반한식,M,17,11,18,일,벌집삼겹살,1
식당,해물요리,M,33,5,1,토,맥도날드,1
식당,일반한식,F,53,11,9,월,동남아음식,0
식당,일반한식,M,57,4,15,일,대형호수/저수지,1
식당,일반한식,M,51,1,16,월,맘스터치,1
식당,일반한식,F,15,1,7,일,컨벤션센터,1
식당,일반한식,F,54,4,18,금,분식,1
식당,일반한식,M,27,11,22,화,카페베네,0
식당,일반한식,F,26,12,1,수,스테이크전문,0
식당,일반한식,F,19,11,7,월,로티보이,1
식당,일반한식,F,52,8,21,일,카페쎄리오,0
식당,일반한식,M,24,5,8,월,T.G.I.프라이데이스,1
식당,치킨,F,30,2,10,토,구민/시민회관,1
식당,일반한식,M,57,1,6,화,야식(24시간오픈),1
식당,삼겹살,M,37,2,17,수,곱창/양구이,0
식당,치킨,M,49,7,2,금,다방,1
식당,해물요리,M,47,8,16,월,뚜레쥬르,1
식당,일반한식,M,35,9,6,목,보물,1
식당,냉면,M,40,9,7,목,로티보이,1
식당,일반한식,M,51,12,4,월,치킨,1
식당,일반한식,M,15,5,2,일,스테이크전문,0
식당,국수전문,F,15,11,19,월,던킨도너츠,1
식당,일반한식,F,25,7,9,화,뚜레쥬르,1
식당,치킨,M,18,6,11,월,떡집,1
식당,일반한식,F,30,5,13,화,시립/군립공원,1
식당,곱창/양구이,M,43,12,13,금,닭/오리구이,1
식당,생선회,F,38,5,5,수,보양식,0
식당,일반한식,F,50,8,1,목,나뚜루,0
식당,일반한식,F,59,5,2,월,토속/특산물/기념품매장,0
식당,일반한식,M,28,4,13,화,보물,1
식당,일반한식,M,20,11,18,토,찌개/탕전문,0
식당,갈비/불고기,M,50,4,21,금,지역근린공원,1
식당,돈까스전문,M,29,7,10,토,피자,1
식당,일반한식,F,25,10,14,금,지역근린공원,0
식당,국수전문,M,17,3,9,일,아웃백스테이크하우스,1
식당,국수전문,F,20,6,23,월,아웃백스테이크하우스,1
식당,일반한식,M,58,9,17,월,피자,1
식당,일반한식,F,33,4,9,목,드롭탑,1
식당,일반한식,F,50,6,1,화,드롭탑,1
식당,생선회,M,20,9,1,금,투썸플레이스,0
식당,일반한식,M,21,10,7,금,엔제리너스,1
식당,일반한식,M,25,5,5,일,테마공원/대형놀이공원,0
식당,일반한식,F,48,10,5,목,BBQ치킨,1
식당,해물요리,F,17,10,23,금,이디야,0
식당,일반한식,F,52,11,19,금,이탈리아음식,1
식당,갈비/불고기,M,53,9,10,화,치킨,1
식당,일반한식,F,32,8,22,화,한정식,0
식당,피자,F,45,7,8,토,지역사찰,1
식당,일반한식,M,16,7,11,월,스무디킹,0
식당,해물요리,M,17,10,16,토,호텔부페,1
식당,일반한식,M,47,9,13,금,파파존스피자,1
식당,해물요리,M,19,9,7,화,스테이크전문,1
식당,일반한식,M,54,12,17,금,파파이스,1
식당,치킨,M,15,3,17,토,돈까스전문,1
식당,일반한식,M,42,6,1,화,맘스터치,1
식당,일반한식,M,19,4,8,금,미술관,1
식당,일반한식,F,37,12,21,수,놀부부대찌개,0
식당,일반한식,F,44,2,7,수,원할머니보쌈,1
식당,분식,M,52,12,6,일,BBQ치킨,1
식당,국수전문,F,27,11,1,수,비/탑/문/각,0
식당,일반한식,F,34,12,14,월,커피빈,0
식당,일반한식,M,50,5,8,목,굽네치킨,0
식당,치킨,M,53,9,11,월,일반유원지/일반놀이공원,0
식당,일반한식,F,43,3,6,토,족발/보쌈,1
식당,일반한식,M,28,12,7,일,경양식,0
식당,일반한식,F,38,9,23,토,카페베네,1
식당,일반한식,F,20,11,23,토,기타전시/박물관,0
식당,일반한식,F,29,12,24,화,미술관,1
식당,일반한식,F,15,1,10,목,관광농원/허브마을,0
식당,국수전문,F,36,2,20,목,파리바게뜨,0
식당,생선회,M,56,2,11,화,대형전시/박물관,0
식당,갈비/불고기,M,56,10,23,일,갈비/불고기,1
식당,닭/오리구이,M,49,2,18,금,우동,0
식당,일반한식,F,37,1,9,토,국수전문,0
식당,피자,M,32,4,11,일,유명관광지,0
식당,페리카나,M,56,8,8,일,공연/연극/문화센터,0
식당,일반한식,M,29,5,4,일,치킨,0
식당,해물요리,M,32,9,6,금,아웃백스테이크하우스,0
식당,삼겹살,F,24,9,5,화,벌집삼겹살,0
식당,해물요리,M,59,12,22,일,스테이크전문,1
식당,일반한식,M,50,4,15,화,이탈리아음식,1
식당,일반한식,M,51,12,11,목,대형예술센터,0
식당,일반한식,F,56,10,2,금,지역축제,0
식당,갈비/불고기,M,14,1,24,화,퓨전,1
식당,갈비/불고기,M,59,3,16,일,망고식스,0
식당,일반한식,F,21,5,7,토,이디야,0
식당,치킨,F,51,2,18,일,투썸플레이스,0
식당,일반한식,F,34,11,6,목,스타벅스,1
